province,total
Krabi,20
Kanchanaburi,9
Kalasin,3
Khon Kaen,6
Chanthaburi,3
Chachoengsao,20
Chon Buri,145
Chaiyaphum,3
Chumphon,21
Chiang Rai,9
Chiang Mai,41
Trat,7
Tak,3
Nakhon Nayok,2
Nakhon Pathom,22
Nakhon Phanom,2
Nakhon Ratchasima,19
Nakhon Si Thammarat,12
Nakhon Sawan,9
Narathiwat,43
Buri Ram,13
Prachuap Khiri Kha,17
Prachin Buri,9
Pattani,94
Phra Nakhon Si Ayutthaya,4
Phayao,3
Phangnga,2
Phatthalung,14
Phitsanulok,6
Phetchaburi,2
Phetchabun,3
Phrae,1
Phuket,227
Maha Sarakham,1
Mukdahan,4
Mae Hong Son,5
Yasothon,1
Yala,134
Roi Et,3
Rayong,6
Ratchaburi,7
Lop Buri,2
Lampang,4
Lamphun,4
Loei,5
Si Sa Ket,8
Sakon Nakhon,1
Songkhla,134
Satun,18
Samut Prakan,145
Samut Songkhram,1
Samut Sakhon,14
Sa Kaeo,10
Saraburi,5
Sukhothai,3
Suphan Buri,6
Surat Thani,18
Surin,9
Nong Khai,3
Nong Bua Lam Phu,3
Amnat Charoen,2
Udon Thani,10
Uttaradit,3
Uthai Thani,1
Ubon Ratchathani,15
Nan,0
Bueng Kan,0
Kamphaeng Phet,0
Phichit,0
Prachuap Khiri Khan,0
Ranong,0
Trang,0
Sing Buri,0
Ang Thong,0
Chai Nat,0
Pathum Thani,39
Nonthaburi,158
